drug_name,drug_generic_name,mode_administration,description,Date of Approval,Company,Treatment for,drug_type,disease_type,,,
Uplizna,inebilizumab-cdon,Injection,Uplizna (inebilizumab-cdon) is a CD19-directed cytolytic antibody indicated for the treatment of neuromyelitis optica spectrum disorder (NMOSD) in adult patients who are anti-aquaporin-4 (AQP4) antibody positive.,2020-06-11,Viela Bio,Neuromyelitis Optica Spectrum Disorder (NMOSD),Immunological,Neurological Disorders,,,
Semglee,insulin glargine-yfgn,Injection,"Semglee (insulin glargine-yfgn) is a long-acting human insulin analog biosimilar to Lantus (insulin glargine) indicated to improve glycemic control in adults and pediatric patients with type 1 diabetes mellitus, and adults with type 2 diabetes mellitus.",2020-06-11,Mylan Pharmaceuticals,"Diabetes, Type 1, Diabetes, Type 2",Antidiabetics,Endocrine Disorders,,,
Nyvepria,pegfilgrastim-apgf,Injection,Nyvepria (pegfilgrastim-apgf) is a PEGylated growth colony-stimulating factor biosimilar to Neulasta (pegfilgrastim) used to reduce the incidence of febrile neutropenia in patients treated with chemotherapy.,2020-06-10,Pfizer,Neutropenia Associated with Chemotherapy,Antineoplastics,Hematological Disorders,,,
Oriahnn,elagolix/estradiol/norethindrone acetate and elagolix,Capsules,"Oriahnn (elagolix/estradiol/norethindrone acetate and elagolix) is a gonadotropin-releasing hormone (GnRH) receptor antagonist, estrogen and progestin co-formulation indicated for the management of heavy menstrual bleeding associated with uterine leiomyomas (fibroids) in premenopausal women.",2020-05-29,Abbvie,Uterine Leiomyomata,Hormonal,Reproductive System Disorders,,,
Zilxi,minocycline,Topical Foam,Zilxi (minocycline) is a topical tetracycline formulation indicated for the treatment of inflammatory lesions of rosacea in adults.,2020-05-28,Foamix Pharmaceuticals,Rosacea,Dermatological,Dermatological Conditions,,,
Tauvid,flortaucipir F 18,Injection,Tauvid (flortaucipir F 18) is a radioactive diagnostic agent indicated for positron emission tomography (PET) imaging of the brain to estimate the density and distribution of aggregated tau neurofibrillary tangles (NFTs) in adult patients with cognitive impairment who are being evaluated for Alzheimer’s disease (AD).,2020-05-28,Eli Lilly,Diagnosis and Investigation,Neurological,Neurological Disorders,,,
,artesunate,Injection,Artesunate for Injection is an antimalarial indicated for the initial treatment of severe malaria in adult and pediatric patients.,2020-05-26,Amivas (),Malaria,Antiparasitics,Infectious Diseases,,,
Cerianna,fluoroestradiol F18,Injection,Cerianna (fluoroestradiol F18) is a radioactive diagnostic agent indicated for use with positron emission tomography (PET) imaging for the detection of estrogen receptor (ER)-positive lesions as an adjunct to biopsy in patients with recurrent or metastatic breast cancer.,2020-05-20,Zionexa,Diagnosis and Investigation,Antineoplastics,Other,,,
Phexxi,"lactic acid, citric acid and potassium bitartrate",Vaginal Gel,"Phexxi (lactic acid, citric acid and potassium bitartrate) is a non-hormonal vaginal gel indicated for the prevention of pregnancy in females of reproductive potential for use as an on-demand method of contraception.",2020-05-22,Evofem,Birth Control,Hormonal,Reproductive System Disorders,,,
Kynmobi,apomorphine hydrochloride,Sublingual Film,Kynmobi (apomorphine sublingual film) is a novel formulation of the approved dopamine agonist apomorphine for the on-demand management of OFF episodes associated with Parkinson’s disease (PD).,2020-05-21,Sunovion Pharmaceuticals,Parkinson's Disease,Neurological,Neurological Disorders,,,
Qinlock,ripretinib,Tablets,"Qinlock (ripretinib) is a broad-spectrum KIT and PDGFRα inhibitor for the treatment of patients with advanced gastrointestinal stromal tumor (GIST) who have received prior treatment with 3 or more kinase inhibitors, including imatinib.",2020-05-15,Deciphera Pharmaceuticals,Gastrointestinal Stromal Tumor,Antineoplastics,Cancers,,,
Retevmo,selpercatinib,Capsules and Tablets,Retevmo (selpercatinib) is a kinase inhibitor used for the treatment of certain cancers caused by abnormal RET genes.,2020-05-08,Eli Lilly,"Non-Small Cell Lung Cancer, Thyroid Cancer, Solid Tumors",Antineoplastics,Cancers,,,
Tabrecta,capmatinib,Tablets,Tabrecta (capmatinib) is a kinase inhibitor indicated for the treatment of adult patients with metastatic non-small cell lung cancer (NSCLC) whose tumors have a mutation that leads to mesenchymal-epithelial transition (MET) exon 14 skipping as detected by an FDA-approved test.,2020-05-06,Novartis,Non-Small Cell Lung Cancer,Antineoplastics,Cancers,,,
Elyxyb,celecoxib,Oral Solution,Elyxyb (celecoxib) is an oral solution formulation of the nonsteroidal anti-inflammatory drug celecoxib (first approved under the brand name Celebrex) indicated for the acute treatment of migraine with or without aura in adults.,2020-05-05,Dr Reddy’S,Migraine,Analgesics,Neurological Disorders,,,
Fensolvi,leuprolide acetate,Injection,Fensolvi (leuprolide acetate) is a gonadotropin releasing hormone (GnRH) agonist indicated for the treatment of pediatric patients 2 years of age and older with central precocious puberty.,2020-05-01,Tolmar Pharmaceuticals,Precocious Puberty,Hormonal,Endocrine Disorders,,,
Darzalex Faspro,daratumumab and hyaluronidase-fihj,Injection,"Darzalex Faspro (daratumumab and hyaluronidase-fihj) is a combination of daratumumab, a CD38-directed cytolytic antibody, and hyaluronidase, an endoglycosidase, indicated for the treatment of multiple myeloma and light chain (AL) amyloidosis.",2020-05-01,The Janssen Pharmaceutical Companies Of Johnson & Johnson,Multiple Myeloma, Light Chain (AL) Amyloidosis,Antineoplastics,Hematological Disorders,,
Bafiertam,monomethyl fumarate,Delayed-Release Capsules,"Bafiertam (monomethyl fumarate) is a novel fumarate indicated for the treatment of relapsing forms of multiple sclerosis (MS), to include clinically isolated syndrome, relapsing-remitting disease, and active secondary progressive disease, in adults.",2020-04-28,Banner Life Sciences,Multiple Sclerosis,Neurological,Neurological Disorders,,,
Ongentys,opicapone,Capsules,Ongentys (opicapone) is a catechol-O-methyltransferase (COMT) inhibitor indicated as an adjunctive treatment to levodopa/carbidopa in patients with Parkinson’s disease (PD) experiencing “off” episodes.,2020-04-24,Neurocrine Biosciences,Parkinson's Disease,Neurological,Neurological Disorders,,,
MenQuadfi,"meningococcal (groups A, C, Y, W) conjugate vaccine",Injection,"MenQuadfi (meningococcal (groups A, C, Y, W) conjugate vaccine) is a MenACWY vaccine indicated for active immunization for the prevention of invasive meningococcal disease caused byNeisseria meningitidisserogroups A, C, W, and Y in individuals 2 years of age and older.",2020-04-23,Sanofi,Meningococcal Disease Prophylaxis,Vaccines,Infectious Diseases,,,
Trodelvy,sacituzumab govitecan-hziy,Injection,Trodelvy (sacituzumab govitecan-hziy) is a Trop-2-directed antibody and topoisomerase inhibitor conjugate used for the treatment of breast cancer and urothelial cancer.,2020-04-22,Immunomedics,"Breast Cancer, Urothelial Carcinoma",Antineoplastics,Cancers,,,
Emerphed,ephedrine sulfate,Injection,Emerphed (ephedrine sulfate) is a ready-to-use formulation of the approved pressor agent ephedrine indicated for the treatment of clinically important hypotension occurring in the setting of anesthesia.,2020-04-17,Nexus Pharmaceuticals,Hypotension,Cardiovascular,Cardiovascular Diseases,,,
Pemazyre,pemigatinib,Tablets,"Pemazyre (pemigatinib) is a selective fibroblast growth factor receptor (FGFR) inhibitor for the treatment of adults with cholangiocarcinoma with FGFR2 rearrangement, and myeloid/lymphoid neoplasms with FGFR1 rearrangement.",2020-04-17,Incyte,"Cholangiocarcinoma, Myeloid/Lymphoid Neoplasms",Antineoplastics,Cancers,,,
Tukysa,tucatinib,Tablets,Tukysa (tucatinib) is a kinase inhibitor used for the combination treatment of HER2-positive breast cancer and RAS wild-type HER2-positive colorectal cancer.,2020-04-17,Seattle Genetics,"Breast Cancer, Colorectal Cancer",Antineoplastics,Cancers,,,
Jelmyto,mitomycin,Pyelocalyceal Solution,Jelmyto (mitomycin) is a novel formulation of the approved alkylating drug mitomycin for the treatment of patients with low-grade upper tract urothelial cancer (LG-UTUC).,2020-04-15,Urogen,Urothelial Carcinoma,Antineoplastics,Cancers,,,
Koselugo,selumetinib,Capsules,"Koselugo (selumetinib) is an inhibitor of mitogen-activated protein kinase kinases 1 and 2 (MEK1/2) indicated for the treatment of pediatric patients 2 years of age and older with neurofibromatosis type 1 (NF1) who have symptomatic, inoperable plexiform neurofibromas (PN).",2020-04-10,Astrazeneca And Merck,Neurofibromatosis Type 1,Antineoplastics,Genetic Disorders,,,
Sevenfact,coagulation factor VIIa (recombinant)-jncw,Injection,Sevenfact (coagulation factor VIIa [recombinant]-jncw) is a coagulation factor VIIa concentrate indicated for the treatment and control of bleeding episodes occurring in adults and adolescents 12 years of age and older with hemophilia A or B with inhibitors (neutralizing antibodies).,2020-04-01,Hema Biologics,Hemophilia A or B with Inhibitors,Hormonal,Hematological Disorders,,,
Zeposia,ozanimod,Capsules,"Zeposia (ozanimod) is a sphingosine 1-phosphate receptor modulator indicated for the treatment of 	 relapsing forms of multiple sclerosis (MS), to include clinically isolated syndrome, relapsing-remitting disease, and active secondary progressive disease in adults; and moderately to severely active ulcerative colitis (UC) in adults.",2020-03-25,Bristol-Myers Squibb Company,"Multiple Sclerosis, Ulcerative Colitis",Neurological,Neurological Disorders,,,
Isturisa,osilodrostat,Tablets,Isturisa (osilodrostat) is a cortisol synthesis inhibitor indicated for the treatment of adult patients with Cushing’s disease.,2020-03-06,Novartis Pharmaceuticals,Cushing's Syndrome,Hormonal,Endocrine Disorders,,,
Durysta,bimatoprost,Implant,Durysta (bimatoprost implant) is a prostaglandin analog indicated for the reduction of intraocular pressure (IOP) in patients with open angle glaucoma (OAG) or ocular hypertension (OHT).,2020-03-03,Allergan,"Glaucoma, Open Angle, Intraocular Hypertension",Ophthalmological,Ophthalmological Disorders,,,
Pizensy,lactitol,Powder for Oral Solution,Pizensy (lactitol) is an osmotic laxative indicated for the treatment of chronic idiopathic constipation (CIC) in adults.,2020-02-12,Braintree,Chronic Idiopathic Constipation,Gastrointestinal,Gastrointestinal Diseases,,,
Sarclisa,isatuximab-irfc,Injection,,2020-03-02,Sanofi,Multiple Myeloma,Antineoplastics,Hematological Disorders,,,
Advil Dual Action,ibuprofen and acetaminophen,Tablets,Advil Dual Action (ibuprofen with acetaminophen) is an over-the-counter (OTC) fixed-dose combination of ibuprofen (the nonsteroidal anti-inflammatory drug (NSAID) contained in Advil) and acetaminophen (the active ingredient in Tylenol) for the relief of pain.,2020-02-28,Gsk Consumer Healthcare,Pain,Analgesics,Musculoskeletal Disorders,,,
Nurtec ODT,rimegepant,Orally Disintegrating Tablets (ODT),"Nurtec ODT (rimegepant) is an orally-dosed calcitonin gene-related peptide (CGRP) receptor antagonist for the acute treatment of migraine with or without aura, and the preventive treatment of episodic migraine, in adults.",2020-02-27,Biohaven Pharmaceutical Holding Company,"<a href=""https://www.drugs.com/condition/migraine.html"">Migraine</a>; <a href=""https://www.drugs.com/condition/migraine-prophylaxis.html"">Migraine Prophylaxis</a>",Neurological,Neurological Disorders,,,
Barhemsys,amisulpride,Injection,Barhemsys (amisulpride) is a dopamine-2 (D2) antagonist for the management of post-operative nausea and vomiting (PONV).,2020-02-26,Acacia,"Nausea/Vomiting, Postoperative",Gastrointestinal,Gastrointestinal Diseases,,,
Nexlizet,bempedoic acid and ezetimibe,Tablets,Nexlizet (bempedoic acid and ezetimibe) is an adenosine triphosphate-citrate lyase (ACL) inhibitor and a cholesterol absorption inhibitor combination used for the treatment of primary hyperlipidemia.,2020-02-26,Esperion Therapeutics,"High Cholesterol, Familial Heterozygous",Cardiovascular,Cardiovascular Diseases,,,
Fluad Quadrivalent,"influenza vaccine, adjuvanted",Injection,"Fluad Quadrivalent (influenza vaccine, adjuvanted) is an inactivated influenza virus vaccine approved for the prevention of seasonal influenza in adults 65 years and older.",2020-02-21,Seqirus,Influenza Prophylaxis,Vaccines,Infectious Diseases,,,
Vyepti,eptinezumab-jjmr,Injection,Vyepti (eptinezumab-jjmr) is a calcitonin gene-related peptide antagonist indicated for the prevention of migraine in adults.,2020-02-21,Lundbeck,Migraine Prevention,Neurological,Neurological Disorders,,,
Nexletol,bempedoic acid,Tablets,Nexletol (bempedoic acid) is an adenosine triphosphate-citrate lyase (ACL) inhibitor used for cardiovascular risk reduction and the treatment of primary hyperlipidemia.,2020-02-21,Esperion Therapeutics,"High Cholesterol, Familial Heterozygous, Cardiovascular Risk Reduction",Cardiovascular,Cardiovascular Diseases,,,
Anjeso,meloxicam,Injection,"Anjeso (meloxicam) is a non-steroidal anti-inflammatory drug (NSAID) injection indicated for use in adults for the management of moderate-to-severe pain, alone or in combination with non-NSAID analgesics.",2020-02-20,Baudax Bio,Pain,Analgesics,Musculoskeletal Disorders,,,
Twirla,ethinyl estradiol and levonorgestrel,Transdermal System,Twirla (ethinyl estradiol and levonorgestrel transdermal system) is a low-dose combined hormonal contraceptive patch for birth control.,2020-02-14,Agile Therapeutics,Birth Control,Hormonal,Reproductive System Disorders,,,
Pizensy,lactitol,Powder for Oral Solution,Pizensy (lactitol) is an osmotic laxative indicated for the treatment of chronic idiopathic constipation (CIC) in adults.,2020-02-12,Braintree,Chronic Idiopathic Constipation,Gastrointestinal,Gastrointestinal Diseases,,,
Pemfexy,pemetrexed,Injection,Pemfexy (pemetrexed for injection) is a branded alternative to Alimta for the treatment of nonsquamous non-small cell lung cancer and malignant pleural mesothelioma.,2020-02-08,Eagle Pharmaceuticals,"Non-Small Cell Lung Cancer, Malignant Pleural Mesothelioma",Antineoplastics,Cancers,,,
Audenz,"influenza A (H5N1) monovalent vaccine, adjuvanted",Injection,"Audenz (influenza A (H5N1) monovalent vaccine, adjuvanted) is a cell-based influenza vaccine designed to protect against influenza A (H5N1) in the event of a pandemic.",2020-01-31,Seqirus,Influenza Prophylaxis,Vaccines,Infectious Diseases,,,
Palforzia,Peanut (Arachis hypogaea) Allergen Powder-dnfp,,"Palforzia (Peanut (Arachis hypogaea) Allergen Powder-dnfp) is an oral immunotherapy indicated to help reduce the severity of allergic reactions, including anaphylaxis, that may occur with accidental exposure to peanut.",2020-01-31,Aimmune Therapeutics,Peanut Allergy,Immunological,Autoimmune Diseases,,,
